product_name,price
"APPLE iPhone 13 (Midnight, 256 GB)","41,990"
"APPLE iPhone 13 (Midnight, 256 GB)","41,990"
"APPLE iPhone 13 (Midnight, 256 GB)","41,990"
"APPLE iPhone 13 (Midnight, 256 GB)","41,990"
"APPLE iPhone 13 (Midnight, 256 GB)","41,990"
"APPLE iPhone 13 (Midnight, 256 GB)","41,990"
"APPLE iPhone 13 (Midnight, 256 GB)","41,990"
"APPLE iPhone 13 (Midnight, 256 GB)","41,990"
"APPLE iPhone 13 (Midnight, 256 GB)","41,990"
"APPLE iPhone 13 (Midnight, 256 GB)","41,990"
"APPLE iPhone 13 (Midnight, 256 GB)","41,990"
"APPLE iPhone 13 (Midnight, 256 GB)","41,990"
"APPLE iPhone 13 (Midnight, 256 GB)","41,990"
"APPLE iPhone 13 (Midnight, 256 GB)","41,990"
"APPLE iPhone 13 (Midnight, 256 GB)","41,990"
"APPLE iPhone 13 (Midnight, 256 GB)","41,990"
"APPLE iPhone 13 (Midnight, 256 GB)","41,990"
"APPLE iPhone 13 (Midnight, 256 GB)","41,990"
"APPLE iPhone 13 (Midnight, 256 GB)","41,990"
"APPLE iPhone 13 (Midnight, 256 GB)","41,990"
"APPLE iPhone 13 (Midnight, 256 GB)","41,990"
"APPLE iPhone 13 (Midnight, 256 GB)","41,990"
"APPLE iPhone 13 (Midnight, 256 GB)","41,990"
"APPLE iPhone 13 (Midnight, 256 GB)","41,990"
